Age,Gender,Where_live,AVG_Sleep_Per_Night,Regular_Bed_time,Exam_Night_Bed_Time,Holiday_Bed_Time,Regular_WakeUp_Time,Holiday_WakeUp_Time,Have_Regular_Bed_Time,Daytime_Nap,Struggle_to_Sleep,Sleep_Condition,Electronic_Devices_Before_Bed,Consume_Caffeine_Night,Dinnar_Time,Smoke,Sleep_Affecting_Drugs,Daily_Academics_Time_Spend,Main_Reason_for_Insufficient_Sleep,Rate_Sleep_Quality,Class_Attendance,Sleepiness_During_Class,Skip_Class_for_Sleep,Focus_on_Academic_Task,Impact_of_Sleep_on_Academic,Current_CGPA5,CGPA3_Class,Aware_of_Recomamended_Sleep,Use_Sleep_Tracking_Devices,Sacrifices_Sleep_for_Academics
21–25,Male,With family,5–6 hours,12–1 AM,>1AM,12-1AM,6-8AM,>8AM,No,1-2d,Sometimes,N/A,Yes,Yes,>9PM,Yes,No,1-2h,Workload,V.Good,Always,Rarely,No,Sometimes,N/A,3.5-3.74,3.5-4.0,Yes,No,Yes
21–25,Male,With family,7–8 hours,After 1 AM,>1AM,>1AM,<6AM,>8AM,No,1-2d,Rarely,N/A,Yes,Yes,>9PM,No,No,2-3h,Workload,V.Good,Always,Rarely,No,Sometimes,S.Pos,3.5-3.74,3.5-4.0,Yes,No,Yes
21–25,Male,With family,Less than 5 hours,After 1 AM,>1AM,>1AM,6-8AM,>8AM,No,1-2d,Sometimes,Insomnia,Yes,Yes,>9PM,Yes,No,3-4h,Job,Avg,Usually,Often,No,Sometimes,S.Neg,<3.0,<3.0,Yes,No,Yes
21–25,Male,In hostel,7–8 hours,12–1 AM,>1AM,>1AM,6-8AM,>8AM,Yes,Never,Sometimes,N/A,Yes,No,>9PM,No,No,2-3h,Social media,V.Good,Always,Never,No,Never,S.Pos,3.5-3.74,3.5-4.0,Yes,No,Yes
21–25,Male,In mess,Less than 5 hours,After 1 AM,>1AM,>1AM,>8AM,>8AM,No,3-4d,Rarely,N/A,Yes,Yes,>9PM,No,No,<1h,Social media,V.Good,Usually,Rarely,Yes,Always,N/A,3.5-3.74,3.5-4.0,Yes,No,Yes
21–25,Male,With family,5–6 hours,After 1 AM,>1AM,>1AM,6-8AM,>8AM,No,3-4d,Often,N/A,Yes,No,>9PM,No,No,<1h,Social media,Good,Occasionally late,Rarely,No,Sometimes,N/A,<3.0,<3.0,Yes,Yes,Yes
21–25,Female,With family,More than 8 hours,After 1 AM,>1AM,>1AM,6-8AM,>8AM,No,≥5d,Often,N/A,Yes,No,>9PM,No,No,1-2h,Social media,Good,Usually,Often,Yes,Sometimes,S.Neg,3.75-4.0,3.5-4.0,Yes,No,Yes
21–25,Female,With family,5–6 hours,12–1 AM,>1AM,12-1AM,6-8AM,6-8AM,Yes,Never,Sometimes,N/A,No,No,<7PM,No,No,3-4h,Social media,V.Good,Always,Never,No,Sometimes,N/A,<3.0,<3.0,Yes,No,No
21–25,Male,In mess,Less than 5 hours,After 1 AM,>1AM,>1AM,6-8AM,6-8AM,No,Never,Always,Insomnia,Yes,Yes,>9PM,Yes,No,1-2h,Workload,Avg,Occasionally late,Rarely,No,Sometimes,N/A,<3.0,<3.0,Yes,No,Yes
21–25,Male,With family,7–8 hours,12–1 AM,12-1AM,11PM-12AM,<6AM,<6AM,Yes,3-4d,Never,N/A,Yes,No,>9PM,No,No,3-4h,Workload,V.Good,Always,Never,No,Sometimes,S.Neg,3.25-3.49,3.0-3.49,No,No,Yes
21–25,Female,With family,5–6 hours,11–12 AM,>1AM,>1AM,6-8AM,>8AM,No,1-2d,Rarely,N/A,Yes,No,>9PM,No,No,2-3h,Social media,Good,Always,Rarely,No,Sometimes,N/A,3.5-3.74,3.5-4.0,No,No,No
21–25,Female,With family,7–8 hours,After 1 AM,>1AM,>1AM,>8AM,>8AM,No,≥5d,Never,N/A,Yes,No,>9PM,No,No,<1h,Other,Good,Usually,Often,Yes,Sometimes,S.Neg,<3.0,<3.0,Yes,Yes,Yes
21–25,Female,In mess,7–8 hours,After 1 AM,>1AM,>1AM,>8AM,>8AM,No,≥5d,Sometimes,Insomnia,Yes,Yes,>9PM,No,No,1-2h,Workload,Good,Usually,Always,No,Sometimes,S.Neg,<3.0,<3.0,Yes,No,Yes
21–25,Male,In mess,Less than 5 hours,After 1 AM,>1AM,>1AM,>8AM,>8AM,No,1-2d,Often,N/A,Yes,No,>9PM,No,No,>4h,Stress,Good,Usually,Rarely,No,Sometimes,S.Pos,3.0-3.24,3.0-3.49,Yes,No,Yes
21–25,Male,In mess,5–6 hours,After 1 AM,12-1AM,>1AM,>8AM,>8AM,No,1-2d,Rarely,N/A,Yes,No,7-9PM,No,No,2-3h,Noise,Good,Always,Rarely,No,Sometimes,S.Pos,3.75-4.0,3.5-4.0,Yes,No,No
16–21,Male,With family,5–6 hours,After 1 AM,>1AM,>1AM,6-8AM,>8AM,No,1-2d,Rarely,N/A,Yes,Yes,<7PM,No,No,<1h,Stress,Good,Always,Often,No,Sometimes,N/A,3.5-3.74,3.5-4.0,Yes,Yes,Yes
21–25,Male,With family,5–6 hours,10–11 PM,11PM-12AM,12-1AM,<6AM,>8AM,Yes,1-2d,Sometimes,PLMS,No,Yes,7-9PM,No,No,1-2h,Stress,V.Good,Usually,Always,Yes,Never,V.Pos,3.25-3.49,3.0-3.49,Yes,No,Yes
21–25,Male,In hostel,5–6 hours,11–12 AM,12-1AM,12-1AM,6-8AM,>8AM,No,1-2d,Rarely,N/A,Yes,Yes,7-9PM,No,No,2-3h,Workload,Good,Usually,Often,No,Sometimes,S.Pos,3.75-4.0,3.5-4.0,Yes,No,Yes
21–25,Male,With family,7–8 hours,12–1 AM,>1AM,11PM-12AM,6-8AM,>8AM,No,1-2d,Sometimes,N/A,Yes,Yes,>9PM,Yes,No,1-2h,Workload,V.Good,Occasionally late,Often,Yes,Sometimes,S.Neg,<3.0,<3.0,Yes,No,Yes
21–25,Male,In mess,7–8 hours,12–1 AM,12-1AM,12-1AM,>8AM,>8AM,Yes,Never,Rarely,N/A,Yes,Yes,>9PM,No,No,<1h,Stress,Good,Usually,Rarely,No,Sometimes,S.Pos,3.0-3.24,3.0-3.49,Yes,Yes,Yes
21–25,Female,With family,5–6 hours,After 1 AM,>1AM,12-1AM,>8AM,>8AM,Yes,1-2d,Sometimes,N/A,Yes,Yes,>9PM,No,No,2-3h,Social media,V.Good,Always,Often,No,Sometimes,S.Pos,3.25-3.49,3.0-3.49,No,No,No
21–25,Male,In mess,5–6 hours,After 1 AM,12-1AM,>1AM,>8AM,>8AM,No,1-2d,Rarely,N/A,Yes,No,>9PM,No,No,2-3h,Stress,Good,Usually,Rarely,Yes,Sometimes,S.Neg,3.0-3.24,3.0-3.49,Yes,No,No
21–25,Female,In hostel,5–6 hours,After 1 AM,>1AM,>1AM,6-8AM,>8AM,No,1-2d,Always,RLS,Yes,No,7-9PM,No,Yes,1-2h,Other,Poor,Usually,Often,Yes,Sometimes,V.Neg,3.0-3.24,3.0-3.49,Yes,Yes,Yes
21–25,Male,In hostel,5–6 hours,12–1 AM,>1AM,>1AM,<6AM,6-8AM,Yes,1-2d,Rarely,N/A,Yes,Yes,>9PM,No,No,<1h,Other,V.Good,Usually,Rarely,Yes,Sometimes,S.Pos,3.25-3.49,3.0-3.49,Yes,No,Yes
